BOUTIQUE;EXERCICE;PERIODE_DEBUT;PERIODE_FIN;PERIODES_FICHIER;TYPE_PERIODE;MODE_RETENU;COMPTEUR_Z;DATE_CLOTURE_PRECEDENTE;HEURE_CLOTURE_PRECEDENTE;DATE_CLOTURE_Z;HEURE_CLOTURE_Z;REGLE_RATTACHEMENT;NB_TICKETS_EJ;NB_RETOURS_CLE_EJ;MONTANT_RETOURS_CLE_EJ;RETOUR_CLE_Z1;CA_TTC_Z1;CA_TTC_EJ;HT_Z1;HT_EJ;TVA_Z1;TVA_EJ;CARTES_Z2;CARTES_EJ;CHEQUES_Z2;CHEQUES_EJ;ESPECES_Z2;ESPECES_EJ;ECART_CA_TTC;ECART_HT;ECART_TVA;ECART_CARTES;ECART_CHEQUES;ECART_ESPECES;NB_FICHIERS_Z1;NB_FICHIERS_Z2;STATUT;ANALYSE;NOTE;SOURCES_Z1;SOURCES_Z2
MASSENA;2024;2024-09;2024-09;2024-09;MOIS_SIMPLE;ZZ1;0081;2024-09-02;00:39;2024-10-01;15:45;DOSSIER_NOM_FICHIER_PUIS_INTERVALLE_ENTRE_CLOTURES;25;0;0.00;0.00;13449.90;13449.90;11208.22;11208.22;2241.68;2241.68;1214.00;1214.00;0.00;0.00;12235.90;12235.90;0.00;0.00;0.00;0.00;0.00;0.00;1;1;OK;CONCORDE_ENTRE_CLOTURES;Retours _R_F signés négativement.;Z101_01_092024_MASSENA.CSV;Z102_01_092024_MASSENA.CSV
MASSENA;2024;2024-10;2024-10;2024-10;MOIS_SIMPLE;ZZ1;0082;2024-10-01;15:45;2024-11-05;18:08;DOSSIER_NOM_FICHIER_PUIS_INTERVALLE_ENTRE_CLOTURES;43;0;0.00;0.00;23588.70;23588.70;19657.21;19657.21;3931.49;3931.49;687.00;687.00;0.00;0.00;22901.70;22901.70;0.00;0.00;0.00;0.00;0.00;0.00;1;1;OK;CONCORDE_ENTRE_CLOTURES;Retours _R_F signés négativement.;Z101_05_102024_MASSENA.CSV;Z102_05_102024_MASSENA.CSV
MASSENA;2024;2024-11;2024-11;2024-11;MOIS_SIMPLE;ZZ1;0083;2024-11-05;18:08;2024-11-30;18:36;DOSSIER_NOM_FICHIER_PUIS_INTERVALLE_ENTRE_CLOTURES;12;0;0.00;0.00;4732.60;4732.60;3943.83;3943.83;788.77;788.77;2986.60;2986.60;0.00;0.00;1746.00;1746.00;0.00;0.00;0.00;0.00;0.00;0.00;1;1;OK;CONCORDE_ENTRE_CLOTURES;Retours _R_F signés négativement.;Z101_30_112024_MASSENA.CSV;Z102_30_112024_MASSENA.CSV
MASSENA;2024;2024-12;2024-12;2024-12;MOIS_SIMPLE;ZZ1;0084;2024-11-30;18:36;2025-01-02;18:07;DOSSIER_NOM_FICHIER_PUIS_INTERVALLE_ENTRE_CLOTURES;26;0;0.00;0.00;12993.60;12993.60;10827.95;10827.95;2165.65;2165.65;1882.00;1882.00;0.00;0.00;11111.60;11111.60;0.00;0.00;0.00;0.00;0.00;0.00;1;1;OK;CONCORDE_ENTRE_CLOTURES;Retours _R_F signés négativement.;Z101_02_122024_MASSENA.CSV;Z102_02_122024_MASSENA.CSV
MASSENA;2025;2025-01;2025-01;2025-01;MOIS_SIMPLE;ZZ1;0085;2025-01-02;18:07;2025-02-03;12:18;DOSSIER_NOM_FICHIER_PUIS_INTERVALLE_ENTRE_CLOTURES;29;0;0.00;0.00;9424.20;9424.20;7853.49;7853.49;1570.71;1570.71;3089.50;3089.50;0.00;0.00;6334.70;6334.70;0.00;0.00;0.00;0.00;0.00;0.00;1;1;OK;CONCORDE_ENTRE_CLOTURES;Retours _R_F signés négativement.;Z101_03_012025_MASSENA.CSV;Z102_03_012025_MASSENA.CSV
MASSENA;2025;2025-02;2025-02;2025-02;MOIS_SIMPLE;ZZ1;0086;2025-02-03;12:18;2025-03-01;15:41;DOSSIER_NOM_FICHIER_PUIS_INTERVALLE_ENTRE_CLOTURES;23;0;0.00;0.00;17829.80;17829.80;14858.14;14858.14;2971.66;2971.66;7497.00;7497.00;0.00;0.00;10332.80;10332.80;0.00;0.00;0.00;0.00;0.00;0.00;1;1;OK;CONCORDE_ENTRE_CLOTURES;Retours _R_F signés négativement.;Z101_01_022025_MASSENA.CSV;Z102_01_022025_MASSENA.CSV
MASSENA;2025;2025-03;2025-03;2025-03;MOIS_SIMPLE;ZZ1;0087;2025-03-01;15:41;2025-03-29;23:24;DOSSIER_NOM_FICHIER_PUIS_INTERVALLE_ENTRE_CLOTURES;30;0;0.00;0.00;20632.70;20632.70;17193.94;17193.94;3438.76;3438.76;9581.00;9581.00;0.00;0.00;11051.70;11051.70;0.00;0.00;0.00;0.00;0.00;0.00;1;1;OK;CONCORDE_ENTRE_CLOTURES;Retours _R_F signés négativement.;Z101_29_032025_MASSENA.CSV;Z102_29_032025_MASSENA.CSV
MASSENA;2025;2025-04;2025-06;2025-04|2025-05|2025-06;MULTI_MOIS;ZZ1;0088;2025-03-29;23:24;2025-07-01;09:58;DOSSIER_NOM_FICHIER_PUIS_INTERVALLE_ENTRE_CLOTURES;34;0;0.00;0.00;12458.10;12458.10;10381.75;10381.75;2076.35;2076.35;5642.40;5642.40;0.00;0.00;6815.70;6815.70;0.00;0.00;0.00;0.00;0.00;0.00;1;1;OK;CONCORDE_ENTRE_CLOTURES;"Retours _R_F signés négativement ; période multi-mois conservée.";Z101_01_042025_052025_062025_MASSENA.CSV;Z102_01_042025_052025_062025_MASSENA.CSV
MASSENA;2025;2025-07;2025-07;2025-07;MOIS_SIMPLE;ZZ1;0089;2025-07-01;09:58;2025-07-31;18:38;DOSSIER_NOM_FICHIER_PUIS_INTERVALLE_ENTRE_CLOTURES;27;0;0.00;0.00;20184.90;20184.90;16820.76;16820.76;3364.14;3364.14;2581.00;2581.00;0.00;0.00;17603.90;17603.90;0.00;0.00;0.00;0.00;0.00;0.00;1;1;OK;CONCORDE_ENTRE_CLOTURES;Retours _R_F signés négativement.;Z101_31_072025_MASSENA.CSV;Z102_31_072025_MASSENA.CSV
MASSENA;2025;2025-08;2025-08;2025-08;MOIS_SIMPLE;ZZ1;0090;2025-07-31;18:38;2025-09-02;17:20;DOSSIER_NOM_FICHIER_PUIS_INTERVALLE_ENTRE_CLOTURES;9;0;0.00;0.00;3986.00;3986.00;3321.66;3321.66;664.34;664.34;2072.00;2072.00;0.00;0.00;1914.00;1914.00;0.00;0.00;0.00;0.00;0.00;0.00;1;1;OK;CONCORDE_ENTRE_CLOTURES;Retours _R_F signés négativement.;Z101_02_082025_MASSENA.CSV;Z102_02_082025_MASSENA.CSV
MATURIN;2023;2023-01;2023-01;2023-01;MOIS_SIMPLE;Z;0019;DEBUT_PERIODE;;2023-02-01;10:06;DOSSIER_NOM_FICHIER_PUIS_INTERVALLE_ENTRE_CLOTURES;32;0;0.00;0.00;23212.60;23212.60;19343.80;19343.80;3868.80;3868.80;17964.60;17964.60;0.00;0.00;5248.00;5248.00;0.00;0.00;0.00;0.00;0.00;0.00;1;1;OK;CONCORDE_ENTRE_CLOTURES;Retours _R_F signés négativement.;Z001_01_012023_MATURIN.CSV;Z002_01_012023_MATURIN.CSV
MATURIN;2023;2023-02;2023-02;2023-02;MOIS_SIMPLE;Z;0020;2023-02-01;10:06;2023-03-01;10:42;DOSSIER_NOM_FICHIER_PUIS_INTERVALLE_ENTRE_CLOTURES;25;0;0.00;0.00;20376.80;20376.80;16980.66;16980.66;3396.14;3396.14;11477.00;11477.00;329.00;329.00;8570.80;8570.80;0.00;0.00;0.00;0.00;0.00;0.00;1;1;OK;CONCORDE_ENTRE_CLOTURES;Retours _R_F signés négativement.;Z001_01_022023_MATURIN.CSV;Z002_01_022023_MATURIN.CSV
MATURIN;2023;2023-03;2023-03;2023-03;MOIS_SIMPLE;Z;0021;2023-03-01;10:42;2023-04-01;13:48;DOSSIER_NOM_FICHIER_PUIS_INTERVALLE_ENTRE_CLOTURES;25;0;0.00;0.00;25372.00;25372.00;21143.33;21143.33;4228.67;4228.67;15536.00;15536.00;0.00;0.00;9836.00;9836.00;0.00;0.00;0.00;0.00;0.00;0.00;1;1;OK;CONCORDE_ENTRE_CLOTURES;Retours _R_F signés négativement.;Z001_01_032023_MATURIN .CSV;Z002_01_032023_MATURIN.CSV
MATURIN;2023;2023-04;2023-04;2023-04;MOIS_SIMPLE;Z;0022;2023-04-01;13:48;2023-05-02;09:28;DOSSIER_NOM_FICHIER_PUIS_INTERVALLE_ENTRE_CLOTURES;15;0;0.00;0.00;13437.00;13437.00;11197.49;11197.49;2239.51;2239.51;9995.00;9995.00;0.00;0.00;3442.00;3442.00;0.00;0.00;0.00;0.00;0.00;0.00;1;1;OK;CONCORDE_ENTRE_CLOTURES;Retours _R_F signés négativement.;Z001_02_042023_MATURIN.CSV;Z002_02_042023_MATURIN.CSV
MATURIN;2023;2023-05;2023-05;2023-05;MOIS_SIMPLE;Z;0023;2023-05-02;09:28;2023-06-01;08:54;DOSSIER_NOM_FICHIER_PUIS_INTERVALLE_ENTRE_CLOTURES;24;0;0.00;0.00;15546.00;15546.00;12954.99;12954.99;2591.01;2591.01;12585.00;12585.00;0.00;0.00;2961.00;2961.00;0.00;0.00;0.00;0.00;0.00;0.00;1;1;OK;CONCORDE_ENTRE_CLOTURES;Retours _R_F signés négativement.;Z001_01_052023_MATURIN.CSV;Z002_01_052023_MATURIN.CSV
MATURIN;2023;2023-06;2023-06;2023-06;MOIS_SIMPLE;Z;0024;2023-06-01;08:54;2023-07-01;13:35;DOSSIER_NOM_FICHIER_PUIS_INTERVALLE_ENTRE_CLOTURES;25;0;0.00;0.00;28916.27;28916.27;24096.90;24096.90;4819.37;4819.37;27185.98;27185.98;0.00;0.00;1730.29;1730.29;0.00;0.00;0.00;0.00;0.00;0.00;1;1;OK;CONCORDE_ENTRE_CLOTURES;Retours _R_F signés négativement.;Z001_01_062023_MATURIN.CSV;Z002_01_062023_MATURIN.CSV
MATURIN;2023;2023-07;2023-07;2023-07;MOIS_SIMPLE;Z;0025;2023-07-01;13:35;2023-08-01;09:14;DOSSIER_NOM_FICHIER_PUIS_INTERVALLE_ENTRE_CLOTURES;41;0;0.00;0.00;31118.00;31118.00;25931.66;25931.66;5186.34;5186.34;29413.00;29413.00;0.00;0.00;1705.00;1705.00;0.00;0.00;0.00;0.00;0.00;0.00;1;1;OK;CONCORDE_ENTRE_CLOTURES;Retours _R_F signés négativement.;Z001_01_072023_MATURIN.CSV;Z002_01_072023_MATURIN.CSV
MATURIN;2023;2023-08;2023-08;2023-08;MOIS_SIMPLE;Z;0026;2023-08-01;09:14;2023-09-01;09:09;DOSSIER_NOM_FICHIER_PUIS_INTERVALLE_ENTRE_CLOTURES;17;0;0.00;0.00;13694.60;13694.60;11412.18;11412.18;2282.42;2282.42;9776.00;9776.00;0.00;0.00;3918.60;3918.60;0.00;0.00;0.00;0.00;0.00;0.00;1;1;OK;CONCORDE_ENTRE_CLOTURES;Retours _R_F signés négativement.;Z001_01_082023_MATURIN .CSV;Z002_01_082023_MATURIN.CSV
MATURIN;2023;2023-09;2023-09;2023-09;MOIS_SIMPLE;Z;0027;2023-09-01;09:09;2023-10-02;09:14;DOSSIER_NOM_FICHIER_PUIS_INTERVALLE_ENTRE_CLOTURES;31;0;0.00;0.00;20163.60;20163.60;16803.01;16803.01;3360.59;3360.59;19377.80;19377.80;0.00;0.00;785.80;785.80;0.00;0.00;0.00;0.00;0.00;0.00;1;1;OK;CONCORDE_ENTRE_CLOTURES;Retours _R_F signés négativement.;Z001_02_092023_MATURIN.CSV;Z002_02_092023_MATURIN.CSV
MATURIN;2023;2023-10;2023-10;2023-10;MOIS_SIMPLE;Z;0028;2023-10-02;09:14;2023-11-02;11:03;DOSSIER_NOM_FICHIER_PUIS_INTERVALLE_ENTRE_CLOTURES;28;0;0.00;0.00;22321.00;22321.00;18600.84;18600.84;3720.16;3720.16;19379.00;19379.00;0.00;0.00;2942.00;2942.00;0.00;0.00;0.00;0.00;0.00;0.00;1;1;OK;CONCORDE_ENTRE_CLOTURES;Retours _R_F signés négativement.;Z001_02_102023_MATURIN.CSV;Z002_02_102023_MATURIN.CSV
MATURIN;2024;2024-01;2024-01;2024-01;MOIS_SIMPLE;Z;0029;2023-11-02;11:03;2024-02-01;10:29;DOSSIER_NOM_FICHIER_PUIS_INTERVALLE_ENTRE_CLOTURES;94;35;-19821.00;19821.00;26282.65;26282.65;21902.19;21902.19;4380.46;4380.46;24254.70;24254.70;0.00;0.00;2027.95;2027.95;0.00;0.00;0.00;0.00;0.00;0.00;1;1;OK;CONCORDE_ENTRE_CLOTURES;Retours _R_F signés négativement.;Z001_01_012024_MATURIN.CSV;Z002_01_012024_MATURIN.CSV
MATURIN;2024;2024-02;2024-02;2024-02;MOIS_SIMPLE;Z;0030;2024-02-01;10:29;2024-03-01;09:35;DOSSIER_NOM_FICHIER_PUIS_INTERVALLE_ENTRE_CLOTURES;40;0;0.00;0.00;30494.50;30494.50;25412.08;25412.08;5082.42;5082.42;26707.70;26707.70;0.00;0.00;3786.80;3786.80;0.00;0.00;0.00;0.00;0.00;0.00;1;1;OK;CONCORDE_ENTRE_CLOTURES;Retours _R_F signés négativement.;Z001_01_022024_MATURIN.CSV;Z002_01_022024_MATURIN.CSV
MATURIN;2024;2024-03;2024-03;2024-03;MOIS_SIMPLE;Z;0031;2024-03-01;09:35;2024-04-02;14:09;DOSSIER_NOM_FICHIER_PUIS_INTERVALLE_ENTRE_CLOTURES;30;0;0.00;0.00;18249.40;18249.40;15207.84;15207.84;3041.56;3041.56;9708.50;9708.50;0.00;0.00;8540.90;8540.90;0.00;0.00;0.00;0.00;0.00;0.00;1;1;OK;CONCORDE_ENTRE_CLOTURES;Retours _R_F signés négativement.;Z001_02_032024_MATURIN.CSV;Z002_02_032024_MATURIN.CSV
MATURIN;2024;2024-04;2024-04;2024-04;MOIS_SIMPLE;Z;0032;2024-04-02;14:09;2024-05-02;10:02;DOSSIER_NOM_FICHIER_PUIS_INTERVALLE_ENTRE_CLOTURES;29;0;0.00;0.00;22694.98;22694.98;18912.44;18912.44;3782.54;3782.54;19292.28;19292.28;0.00;0.00;3402.70;3402.70;0.00;0.00;0.00;0.00;0.00;0.00;1;1;OK;CONCORDE_ENTRE_CLOTURES;Retours _R_F signés négativement.;Z001_02_042024_MATURIN.CSV;Z002_02_042024_MATURIN.CSV
