nomfichier|E_NUM_INTERNE|E_NUM_TICKET|E_DATE_TICKET|E_HEURE_TICKET|E_HT1|E_HT2|E_HT3|E_HT4|E_TVA1|E_TVA2|E_TVA3|E_TVA4|E_HT_NON_TAXABLE|E_TTC|E_MDP_CB|E_MDP_ESPECES|E_MDP_CHEQUES
EJ290325.TXT|005777|004637|2025-03-26|19:03|265.83||||53.17|||||319.00||319.00|
EJ290325.TXT|005778|004638|2025-03-26|19:04|257.50||||51.50|||||309.00||309.00|
EJ290325.TXT|005779|004639|2025-03-26|19:05|531.67||||106.33|||||638.00||638.00|
EJ290325.TXT|005780|004640|2025-03-26|19:05|531.67||||106.33|||||638.00||638.00|
EJ290325.TXT|005781|004641|2025-03-27|11:07|82.50||||16.50|||||99.00||99.00|
EJ290325.TXT|005782|004642|2025-03-27|11:36|124.17||||24.83|||||149.00|149.00||
EJ290325.TXT|005783|004643|2025-03-28|12:41|833.33||||166.67|||||1000.00||1000.00|
EJ290325.TXT|005784|004644|2025-03-28|12:42|315.83||||63.17|||||379.00||379.00|
EJ010725.TXT|005793|004645|2025-04-07|16:10|548.33||||109.67|||||658.00||658.00|
EJ010725.TXT|005794|004646|2025-04-07|16:13|208.33||||41.67|||||250.00||250.00|
EJ010725.TXT|005795|004647|2025-04-07|16:38|82.50||||16.50|||||99.00|99.00||
EJ010725.TXT|005796|004648|2025-04-07|16:54|465.83||||93.17|||||559.00||559.00|
EJ010725.TXT|005797|004649|2025-04-07|17:01|83.17||||16.63|||||99.80||99.80|
EJ010725.TXT|005798|004650|2025-04-08|10:33|274.17||||54.83|||||329.00||329.00|
EJ010725.TXT|005799|004651|2025-04-08|16:01|208.33||||41.67|||||250.00||250.00|
EJ010725.TXT|005800|004652|2025-04-09|14:53|41.58||||8.32|||||49.90|49.90||
EJ010725.TXT|005801|004653|2025-04-10|14:26|548.33||||109.67|||||658.00|658.00||
EJ010725.TXT|005802|004654|2025-04-11|10:44|626.67||||125.33|||||752.00|752.00||
EJ010725.TXT|005803|004655|2025-04-11|17:22|656.67||||131.33|||||788.00||788.00|
EJ010725.TXT|005804|004656|2025-04-15|17:30|845.00||||169.00|||||1014.00|1014.00||
EJ010725.TXT|005805|004657|2025-04-18|12:41|208.33||||41.67|||||250.00||250.00|
EJ010725.TXT|005806|004658|2025-04-19|15:25|107.42||||21.48|||||128.90||128.90|
EJ010725.TXT|005807|004659|2025-04-23|15:56|208.33||||41.67|||||250.00||250.00|
EJ010725.TXT|005808|004660|2025-04-23|17:13|66.50||||13.30|||||79.80|79.80||
EJ010725.TXT|005809|004661|2025-04-28|10:23|82.50||||16.50|||||99.00||99.00|
EJ010725.TXT|005810|004662|2025-04-30|10:38|315.75||||63.15|||||378.90|378.90||
EJ010725.TXT|005811|004663|2025-04-30|15:23|274.17||||54.83|||||329.00|329.00||
EJ010725.TXT|005812|004664|2025-05-05|09:49|208.33||||41.67|||||250.00||250.00|
EJ010725.TXT|005813|004665|2025-05-05|14:49|548.33||||109.67|||||658.00|658.00||
EJ010725.TXT|005814|004666|2025-05-06|13:59|274.17||||54.83|||||329.00||329.00|
EJ010725.TXT|005815|004667|2025-05-09|16:03|548.33||||109.67|||||658.00||658.00|
EJ010725.TXT|005816|004668|2025-05-09|16:05|208.33||||41.67|||||250.00||250.00|
EJ010725.TXT|005817|004669|2025-05-17|17:14|274.17||||54.83|||||329.00|329.00||
EJ010725.TXT|005818|004670|2025-05-18|18:35|74.92||||14.98|||||89.90|89.90||
EJ010725.TXT|005820|004671|2025-05-28|14:49|548.33||||109.67|||||658.00|658.00||
EJ010725.TXT|005821|004672|2025-06-05|16:58|865.00||||173.00|||||1038.00||1038.00|
EJ010725.TXT|005822|004673|2025-06-07|15:32|33.25||||6.65|||||39.90|39.90||
EJ010725.TXT|005823|004674|2025-06-12|09:30|199.17||||39.83|||||239.00|239.00||
EJ010725.TXT|005824|004675|2025-06-12|14:45|250.00||||50.00|||||300.00||300.00|
EJ010725.TXT|005825|004676|2025-06-12|14:46|24.17||||4.83|||||29.00|29.00||
EJ010725.TXT|005826|004677|2025-06-26|15:26|199.17||||39.83|||||239.00|239.00||
EJ010725.TXT|005827|004678|2025-06-27|17:12|274.17||||54.83|||||329.00||329.00|
EJ310725.TXT|005835|004679|2025-07-07|10:59|190.83||||38.17|||||229.00|229.00||
EJ310725.TXT|005836|004680|2025-07-07|16:48|274.17||||54.83|||||329.00||329.00|
EJ310725.TXT|005837|004681|2025-07-08|11:39|1645.00||||329.00|||||1974.00|1974.00||
EJ310725.TXT|005838|004682|2025-07-11|17:08|190.83||||38.17|||||229.00|229.00||
EJ310725.TXT|005839|004683|2025-07-15|10:51|832.50||||166.50|||||999.00||999.00|
EJ310725.TXT|005840|004684|2025-07-15|10:52|833.33||||166.67|||||1000.00||1000.00|
EJ310725.TXT|005841|004685|2025-07-15|10:53|825.00||||165.00|||||990.00||990.00|
EJ310725.TXT|005842|004686|2025-07-15|10:54|690.83||||138.17|||||829.00||829.00|
EJ310725.TXT|005843|004687|2025-07-15|10:55|833.33||||166.67|||||1000.00||1000.00|
EJ310725.TXT|005844|004688|2025-07-15|10:56|674.17||||134.83|||||809.00||809.00|
EJ310725.TXT|005845|004689|2025-07-15|11:00|40.75||||8.15|||||48.90||48.90|
EJ310725.TXT|005846|004690|2025-07-16|13:34|375.00||||75.00|||||450.00||450.00|
EJ310725.TXT|005847|004691|2025-07-16|13:34|525.83||||105.17|||||631.00||631.00|
EJ310725.TXT|005848|004692|2025-07-16|14:46|822.50||||164.50|||||987.00||987.00|
EJ310725.TXT|005849|004693|2025-07-16|14:46|822.50||||164.50|||||987.00||987.00|
EJ310725.TXT|005850|004694|2025-07-16|14:47|274.17||||54.83|||||329.00||329.00|
EJ310725.TXT|005851|004695|2025-07-18|09:48|799.17||||159.83|||||959.00||959.00|
EJ310725.TXT|005852|004696|2025-07-18|09:49|799.17||||159.83|||||959.00||959.00|
EJ310725.TXT|005853|004697|2025-07-18|09:49|799.17||||159.83|||||959.00||959.00|
EJ310725.TXT|005854|004698|2025-07-18|09:50|799.17||||159.83|||||959.00||959.00|
EJ310725.TXT|005855|004699|2025-07-18|09:50|799.17||||159.83|||||959.00||959.00|
EJ310725.TXT|005856|004700|2025-07-18|09:51|799.17||||159.83|||||959.00||959.00|
EJ310725.TXT|005857|004701|2025-07-18|09:51|795.00||||159.00|||||954.00||954.00|
EJ310725.TXT|005858|004702|2025-07-23|14:12|548.33||||109.67|||||658.00||658.00|
EJ310725.TXT|005859|004703|2025-07-23|14:15|110.00||||22.00|||||132.00||132.00|
EJ310725.TXT|005860|004704|2025-07-25|16:38|124.17||||24.83|||||149.00|149.00||
EJ310725.TXT|005861|004705|2025-07-30|17:33|597.50||||119.50|||||717.00||717.00|
EJ020925.TXT|005870|004706|2025-08-06|16:53|82.50||||16.50|||||99.00||99.00|
EJ020925.TXT|005871|004707|2025-08-14|16:39|548.33||||109.67|||||658.00|658.00||
EJ020925.TXT|005872|004708|2025-08-20|14:37|274.17||||54.83|||||329.00||329.00|
EJ020925.TXT|005873|004709|2025-08-21|09:43|82.50||||16.50|||||99.00||99.00|
EJ020925.TXT|005874|004710|2025-08-22|16:59|548.33||||109.67|||||658.00||658.00|
EJ020925.TXT|005875|004711|2025-08-27|13:45|822.50||||164.50|||||987.00|987.00||
EJ020925.TXT|005876|004712|2025-08-27|15:09|333.33||||66.67|||||400.00||400.00|
EJ020925.TXT|005877|004713|2025-08-27|15:09|355.83||||71.17|||||427.00|427.00||
EJ020925.TXT|005878|004714|2025-08-27|15:37|274.17||||54.83|||||329.00||329.00|
